"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"1";"Quebrando o Tabu";"Mídia Alternativa";"Esquerda";35304357;6536517
"2";"Delegado Francischini";"Políticos/partidos";"Direita";35204697;1036766
"3";"MBL - Movimento Brasil Livre";"Sociedade Civil";"Direita";25958872;1898460
"4";"Jair Messias Bolsonaro";"Políticos/partidos";"Direita";20001732;3544385
"5";"VEJA";"Imprensa";"Direita";17862391;7034549
"6";"MCC - Movimento Contra Corrupção";"Sociedade Civil";"Direita";16993613;3170789
"7";"Movimento Do POVO Brasileiro";"Criadores Digitais";"Direita";16601576;NA
"8";"Alvaro Dias";"Políticos/partidos";"Centro-Direita";15789920;838582
"9";"Portal R7";"Imprensa";"Centro";15664945;13029431
"10";"UOL";"Imprensa";"Centro";15402572;3715885
"11";"Exame";"Imprensa";"Centro";15318587;4003281
"12";"Joice Hasselmann";"Imprensa";"Direita";15127864;796683
"13";"Brasil 247";"Mídia Alternativa";"Centro-Esquerda";14061155;817372
"14";"Estadão";"Imprensa";"Centro";14049420;3416805
"15";"Mídia Ninja";"Mídia Alternativa";"Esquerda";13688948;1276209
"16";"O Globo";"Imprensa";"Centro";13401406;5163577
"17";"SomostodosBolsonaro";"Criadores Digitais";"Direita";12083849;NA
"18";"Folha Política";"Mídia Alternativa";"Direita";11298149;1459449
"19";"G1 - O Portal de Notícias da Globo";"Imprensa";"Centro";10844289;8653826
"20";"O Antagonista";"Mídia Alternativa";"Direita";10166915;657416
"21";"Vem Pra Rua Brasil";"Sociedade Civil";"Direita";10040421;1474126
"22";"Lula";"Políticos/partidos";"Centro-Esquerda";9161087;2741927
"23";"Avança Brasil Maçons.BR";"Sociedade Civil";"Direita";8091069;814737
"24";"Fernando Haddad";"Criadores Digitais";"Centro-Esquerda";7728089;27699
"25";"Revoltados ON LINE";NA;"Direita";7544757;NA
"26";"PROZAC virtual";"Criadores Digitais";"Esquerda";7416550;1414235
"27";"Aécio Neves";"Políticos/partidos";"Centro-Direita";7111785;4451545
"28";"Marco Feliciano";"Políticos/partidos";"Direita";7058283;3945081
"29";"NasRuas";"Sociedade Civil";"Direita";6800898;395736
"30";"Partido dos Trabalhadores";"Políticos/partidos";"Centro-Esquerda";6431034;1169835
"31";"Brasil sem Màscara";"Criadores Digitais";"Direita";6394022;687985
"32";"Partido Anti-PT";"Criadores Digitais";"Direita";6311493;1528493
"33";"Terra";"Imprensa";"Centro";6288804;5287852
"34";"Marcos Do Val";"Sociedade Civil";"Direita";6226146;3661525
"35";"Bolsonaro Opressor 2.0";"Criadores Digitais";"Direita";5979528;400429
"36";"Dilma Rousseff";"Políticos/partidos";"Centro-Esquerda";5856055;3194545
"37";"Conversa Afiada Oficial";"Mídia Alternativa";"Centro-Esquerda";5847569;423819
"38";"Marco Maia";"Políticos/partidos";"Centro-Esquerda";5711788;22371
"39";"TV Revolta";"Criadores Digitais";"Direita";5708951;3622119
"40";"Jornalistas Livres";"Mídia Alternativa";"Centro-Esquerda";5521699;687626
"41";"Revista ISTOÉ";"Imprensa";"Direita";5504609;2293101
"42";"República de Curitiba";"Criadores Digitais";"Direita";5500338;199630
"43";"Folha de S.Paulo";"Imprensa";"Centro";5379421;5821440
"44";"Revista Fórum";"Mídia Alternativa";"Centro-Esquerda";5228980;666212
"45";"Kim Kataguiri";"Sociedade Civil";"Direita";5193104;369987
"46";"Jandira Feghali";"Políticos/partidos";"Centro-Esquerda";5153520;701398
"47";"Lindbergh Farias";"Políticos/partidos";"Centro-Esquerda";5151075;514524
"48";"Verdade sem manipulação";"Criadores Digitais";"Centro-Esquerda";5150582;444548
"49";"Gleisi Hoffmann";"Políticos/partidos";"Centro-Esquerda";5092530;512978
"50";"Sensacionalista";"Mídia Alternativa";"Esquerda";4898148;3149793
"51";"Falandoverdades 2";"Criadores Digitais";"Centro-Esquerda";4811158;203992
"52";"Luisa Mell";"Sociedade Civil";"Centro";4637144;2424358
"53";"CartaCapital";"Imprensa";"Centro-Esquerda";4618344;1809585
"54";"Deboas na Revolução";"Criadores Digitais";"Esquerda";4386728;1072118
"55";"Carioca - Márvio Lucio";"Sociedade Civil";"Direita";4298971;4268247
"56";"Jornal Extra";"Imprensa";"Centro";4297718;1825233
"57";"Sargento Fahur";"Sociedade Civil";"Direita";4234393;1753633
"58";"Major Olimpio";"Políticos/partidos";"Direita";4183951;487583
"59";"Eduardo Bolsonaro";"Políticos/partidos";"Direita";3968347;1078359
"60";"PSDB";"Políticos/partidos";"Centro-Direita";3918396;1327841
"61";"InfoMoney";"Imprensa";"Direita";3776286;1121654
"62";"Tico Santa Cruz";"Sociedade Civil";"Centro-Esquerda";3722905;2617252
"63";"Jovem Pan News";"Imprensa";"Direita";3649732;1032207
"64";"Silas Malafaia";"Políticos/partidos";"Direita";3643821;1853449
"65";"Movimento Queromedefender";"Sociedade Civil";"Direita";3638627;722117
"66";"Fernando Holiday";"Políticos/partidos";"Direita";3624555;284342
"67";"Em Defesa do Brasil";"Criadores Digitais";"Direita";3619347;121907
"68";"Décio Lima";"Políticos/partidos";"Centro-Esquerda";3570141;49856
"69";"Pragmatismo Político";"Mídia Alternativa";"Centro-Esquerda";3398996;1104626
"70";"Apoiamos a Operação lava Jato- Ministro Sérgio Moro";"Criadores Digitais";"Direita";3398979;NA
"71";"Juventude Contra Corrupção";"Sociedade Civil";"Direita";3387772;839864
"72";"Danilo Gentili";"Sociedade Civil";"Direita";3374569;12676594
